id;key;1::Spanish;
119;plugin_base_locale_lbl_flag;Flag;Bandera
120;plugin_base_locale_lbl_text_direction;Text direction;Dirección del texto
121;plugin_base_locale_dir_ARRAY_ltr;Left to Right;De izquierda a derecha
122;plugin_base_locale_dir_ARRAY_rtl;Right to Left;De derecha a izquierda
123;plugin_base_locale_lbl_is_default;Is default;Por defecto
124;plugin_base_locale_lbl_order;Order;Orden
125;plugin_base_locale_btn_reset;Reset;Resetear
126;plugin_base_btn_close;Close;Cerrar
127;plugin_base_locale_tooltip_reset;Click to reset;Haga clic para restablecer
128;plugin_base_locale_tooltip_upload;Click to upload;Haga clic para cargar
129;plugin_base_locale_infobox_labels_title;Labels;Etiquetas
130;plugin_base_locale_infobox_labels_desc;Using the form below you can edit all the text in the software.;Usando el siguiente formulario puedes editar todo el texto en el software.
131;plugin_base_lbl_search;Search;Buscar
132;plugin_base_languages_advanced_on;Advanced Translation is ON;La traducción avanzada está activada
133;plugin_base_languages_advanced_off;Advanced Translation is OFF;La traducción avanzada está desactivada
134;plugin_base_languages_advanced_title;Info;Informacion
135;plugin_base_languages_advanced_desc;"Each piece of text used in the software is saved in the database and has its own unique ID. To show these IDs in the script itself turn on the ""Show labels ID"" switch. This will show the corresponding :ID: for each label in the script. Please, note that ONLY you will see these IDs. Now you can search for any ID and easily change and/or translate the text. Have in the mind that you should use : before and after the ID when you search for it.";"Cada texto utilizado en el software se guarda en la base de datos y tiene su propia identificación única. Para mostrar estas ID en el script, active el interruptor ""Mostrar ID de etiquetas"". Esto mostrará el correspondiente: ID: para cada etiqueta en el script. Tenga en cuenta que SOLO verá estas ID. Ahora puede buscar cualquier ID y cambiar y/o traducir el texto fácilmente. Tenga en cuenta que debe usar: antes y después de la identificación cuando la busque."
136;plugin_base_languages_advanced_show_id;Show labels ID;Mostrar ID de etiquetas
137;plugin_base_btn_confirm;Confirm;Confirmar
138;plugin_base_locale_showid_dialog_title;Show IDs;Mostrar ID
139;plugin_base_locale_showid_dialog_desc;ID will be displayed next to each text found in the software. You can then search for an ID to easily change or translate the text.;La ID se mostrará junto a cada texto encontrado en el software. Luego puede buscar una identificación para cambiar o traducir fácilmente el texto.
140;plugin_base_locale_translate_to;Translate to;Traducir a
141;plugin_base_locale_id;ID;ID
142;plugin_base_default_language;Default language;Idioma predeterminado
143;plugin_base_opt_o_hide_page;Hide this page;Ocultar esta página
144;plugin_base_menu_login_protection;Login & Protection;Login y contraseña 222
145;plugin_base_infobox_login_protection_title;Login & Protection;Login y contraseña 222
146;plugin_base_infobox_login_protection_desc;Configure system login and security settings.;Configure el inicio de sesión y la configuración de seguridad.
147;plugin_base_error_titles_ARRAY_PBS04;Login & Protection saved!;¡Login y contraseña guardados! 222
148;plugin_base_error_bodies_ARRAY_PBS04;Login & Protection settings have been successfully saved.;La configuración de login y contraseña se ha guardado correctamente. 222
149;plugin_base_options_password_title;Password;Contraseña
150;plugin_base_options_password_desc;Set various settings related to the password used by users to login the backend of the system.;Establezca varias configuraciones relacionadas con la contraseña utilizada por los usuarios para iniciar sesión en el back-end del sistema.
151;plugin_base_options_secure_login_title;Secure Login;Inicio de sesión seguro
152;plugin_base_options_secure_login_desc;Set various settings related to system login.;Establezca varias configuraciones relacionadas con el inicio de sesión del sistema.
153;plugin_base_options_failed_login_title;Failed Login;Inicio de sesión fallido
154;plugin_base_options_failed_login_desc;Set various settings related to what happens when user fails to login.;Establezca varias configuraciones relacionadas con lo que sucede cuando el usuario no puede iniciar sesión.
155;plugin_base_options_forgot_password_title;Forgot Password;Se te olvidó tu contraseña
156;plugin_base_options_forgot_password_desc;Set various settings related to forgot password feature.;Establezca varias configuraciones relacionadas con la función de contraseña olvidada.
157;plugin_base_opt_o_password_min_length;Minimum length;Longitud mínima
158;plugin_base_opt_o_password_chars_used;Characters used;Caracteres usados
159;plugin_base_opt_o_password_special_symbol;Require special symbol;Requerir símbolo especial
160;plugin_base_opt_o_password_capital_letter;Require capital letter;Requerir mayúscula
161;plugin_base_opt_o_password_change_every;Require users to change password every;Requerir a los usuarios que cambien la contraseña cada
162;plugin_base_password_every_ARRAY_days;days;dias
163;plugin_base_password_every_ARRAY_weeks;weeks;semanas
164;plugin_base_password_every_ARRAY_months;months;meses
165;plugin_base_opt_o_secure_login_use_captcha;Use captcha;Usar captcha
166;plugin_base_opt_o_secure_login_1_active_login;Allow only 1 active login per user;Permitir solo 1 inicio de sesión activo por usuario
167;plugin_base_opt_o_secure_login_2factor_auth;Two-Factor Authentication;Autenticación de dos factores
168;plugin_base_opt_o_secure_login_send_password_to;Send temporary password to;Enviar contraseña temporal a
169;plugin_base_enum_send_to_ARRAY_email;Email;Correo electrónico
170;plugin_base_enum_send_to_ARRAY_sms;SMS;Mensaje SMS
171;plugin_base_opt_o_failed_login_lock_after;Lock account after;Bloquear cuenta después de
172;plugin_base_opt_o_failed_login_disable_form;Disable login form for;Desactivar formulario de inicio de sesión para
173;plugin_base_opt_o_failed_login_required_captcha_after;Temporary require Captcha after;Temporalmente requiere Captcha después de
174;plugin_base_opt_o_failed_login_send_email_after;Send notification to account owner after;Enviar notificación al propietario de la cuenta después de
175;plugin_base_opt_o_failed_login_send_sms_after;Send SMS to account owner after;Enviar mensaje SMS al propietario de la cuenta después
176;plugin_base_failed_login_attempts;failed login attempts;intentos fallidos de inicio de sesión
177;plugin_base_enum_disable_units_ARRAY_hours;hours;horas
178;plugin_base_enum_disable_units_ARRAY_minutes;minutes;minutos
179;plugin_base_enum_disable_units_ARRAY_days;days;dias
180;plugin_base_enum_disable_units_ARRAY_weeks;weeks;semanas
181;plugin_base_enum_disable_units_ARRAY_months;months;meses
182;plugin_base_label_after;after;después
183;plugin_base_opt_o_forgot_email_confirmation;Forgot password email;Olvidé mi contraseña de correo electrónico
184;plugin_base_opt_o_forgot_sms_confirmation;Forgot password SMS;Olvidé mi contraseña mensaje SMS
185;plugin_base_opt_o_forgot_contact_admin;Contact admin;Contacta al administrador
186;plugin_base_opt_o_forgot_use_captcha;Use captcha on forgot password page;Usar captcha en la página de contraseña olvidada
187;plugin_base_menu_captcha_spam;Captcha &  Spam;Captcha y Spam
188;plugin_base_error_titles_ARRAY_PBS05;Captcha & Spam settings saved!;Configuracion Captcha & Spam guardada!
189;plugin_base_error_bodies_ARRAY_PBS05;All changes on Captcha & Spam settings have been successfully saved.;Todos los cambios en la configuración de Captcha y Spam se han guardado correctamente.
190;plugin_base_opt_o_captcha_location;Captcha Location;Ubicación del Captcha
191;plugin_base_opt_o_captcha_type;Type;Tipo
192;plugin_base_opt_o_captcha_background;Background;Fondo
193;plugin_base_opt_o_captcha_mode;Mode;Modo
194;plugin_base_opt_o_captcha_length;Length;Longitud
195;plugin_base_opt_o_spam_banned_words;Banned words;Palabras prohibidas
196;plugin_base_opt_o_spam_banned_ip;Banned IP addresses;Direcciones IP prohibidas
197;plugin_base_options_captcha_title;Captcha (Back-end);Capcha (Back-end)
198;plugin_base_options_captcha_desc;Set options for the captcha used on the back-end login page.;Establezca las opciones para el captcha utilizado en la página de inicio de sesión del Back-end.
199;plugin_base_options_spam_title;SPAM Protection;Protección contra el spam
200;plugin_base_options_spam_desc;Enter IP addresses that you want to prevent from accessing back-end and front-end of the system. Enter one IP address per line.;Ingrese las direcciones IP que desea evitar que accedan al back-end y al front-end del sistema. Ingrese una dirección IP por línea.
201;plugin_base_lbl_symbols;symbols;símbolos
202;plugin_base_infobox_captcha_spam_title;Captcha & SPAM;Captcha y Spam
203;plugin_base_infobox_captcha_spam_desc;Set captcha and spam protection settings.;Establezca la configuración de protección de captcha y spam.
204;plugin_base_enum_captcha_location_ARRAY_admin;Administration page;Página de administración
205;plugin_base_enum_captcha_location_ARRAY_front;Front-end;Front-end
206;plugin_base_enum_captcha_types_ARRAY_system;System;Sistema
207;plugin_base_enum_captcha_types_ARRAY_google;Google;Google
208;plugin_base_enum_background_ARRAY_plain;Plain;Plano
209;plugin_base_enum_background_ARRAY_pattern;Pattern;Patron de estampado
210;plugin_base_enum_modes_ARRAY_string;String;Cadena de caracteres
211;plugin_base_enum_modes_ARRAY_addition;Addition;Suma
212;plugin_base_enum_modes_ARRAY_subtraction;Subtraction;Resta
213;plugin_base_enum_modes_ARRAY_random_math;Random math;Matemáticas al azar
214;plugin_base_opt_o_captcha_site_key;Google reCaptcha site key;Clave del sitio de Google reCaptcha
215;plugin_base_opt_o_captcha_secret_key;Google reCaptcha secret key;Clave secreta de Google reCaptcha
216;plugin_base_login_email;Email;Correo electrónico
217;plugin_base_login_password;Password;Contraseña
218;plugin_base_email_invalid;Email address is not valid.;La dirección de correo electrónico es inválida.
219;plugin_base_btn_login;Login;Iniciar sesión
220;plugin_base_link_forgot_password;Forgot password;Se te olvidó tu contraseña
221;plugin_base_login_err_ARRAY_4;Parameters are missing.;Faltan parámetros
222;plugin_base_login_err_ARRAY_5;Your account has been locked after %u failed login attempts.;Su cuenta ha sido bloqueada después de %u intentos fallidos al iniciar sesión.
223;plugin_base_login_err_ARRAY_6;Email address does not exist.;La dirección de correo electrónico no existe.
224;plugin_base_login_err_ARRAY_7;Password is not correct.;La contraseña no es correcta
225;plugin_base_disable_form_message;Login form is disabled after failed login attempts.;El formulario de inicio de sesión se desactiva después de intentos fallidos de inicio de sesión.
226;plugin_base_login_captcha;Captcha;Captcha
227;plugin_base_captcha_incorrect;Captcha is not correct.;Captcha no es correcto.
228;plugin_base_menu_users;Users;Usuarios
229;plugin_base_infobox_users_title;Users;Usuarios
230;plugin_base_infobox_users_desc;Add and manage system users. Set users as 'Inactive' if you wish to temporarily restrict their access to the system without deleting them. Click on permissions icon to configure user permission levels.;Añadir y administrar usuarios del sistema. Configure los usuarios como 'Inactivos' si desea restringir temporalmente su acceso al sistema sin eliminarlos. Haga clic en el icono de permisos para configurar los niveles de permisos del usuario.
231;plugin_base_error_titles_ARRAY_PU01;User updated!;Usuario actualizado!
232;plugin_base_error_bodies_ARRAY_PU01;All the changes made to this user have been saved. ;Se han guardado todos los cambios realizados a este usuario.
233;plugin_base_error_titles_ARRAY_PU03;User added!;Usuario añadido!
234;plugin_base_error_bodies_ARRAY_PU03;The user has been added into the system.;El usuario ha sido agregado al sistema.
235;plugin_base_error_titles_ARRAY_PU04;User failed to add!;¡El usuario no se pudo añadir!
236;plugin_base_error_bodies_ARRAY_PU04;The user could not be added into the system successfully.;El usuario no pudo ser agregado al sistema con éxito.
237;plugin_base_error_titles_ARRAY_PU08;User not found!;¡Usuario no encontrado!
238;plugin_base_error_bodies_ARRAY_PU08;The user you are looking for is missing. Please try again.;Falta el usuario que busca. Inténtalo de nuevo.
239;plugin_base_btn_add_user;Add user;Añadir usuario
240;plugin_base_lbl_all;All;Todos
241;plugin_base_filter_ARRAY_active;Active;Activo
242;plugin_base_filter_ARRAY_inactive;Inactive;Inactivo
243;plugin_base_name;Name;Nombre
244;plugin_base_email;Email;Correo electrónico
245;plugin_base_last_login;Last login;Último acceso
246;plugin_base_role;Role;Rol
247;plugin_base_status;Status;Estado
248;plugin_base_revert_status;Revert status;Revertir estado
249;plugin_base_export;Export;Exportar
250;plugin_base_delete_selected;Delete selected;Eliminar seleccionado
251;plugin_base_delete_confirmation;Are you sure you want to delete the selected record(s)?;¿Está seguro de que desea eliminar los registros seleccionados?
252;plugin_base_infobox_add_user_title;Add User;Añadir usuario
253;plugin_base_infobox_add_user_desc;Fill out the fields and click on 'Save' button to add new user to the system.;Complete los campos y haga clic en el botón 'Guardar' para añadir un nuevo usuario al sistema.
254;plugin_base_choose;Choose;Seleccionar
255;plugin_base_password;Password;Contraseña
256;plugin_base_phone;Phone;Teléfono
257;plugin_base_email_in_used;Email address was already used.;La dirección de correo electrónico ya esta en uso.
258;plugin_base_invalid_password_title;Invalid Password;Contraseña invalida
259;plugin_base_btn_ok;OK;OK
260;plugin_base_infobox_update_user_title;Update User;Actualizar usuario
261;plugin_base_infobox_update_user_desc;Review and update User's data.;Revisar y actualizar los datos del usuario.
262;plugin_base_registration_date_time;Registration date/time;Fecha / hora de registro
263;plugin_base_ip_address;IP address;Dirección IP
264;plugin_base_error_titles_ARRAY_PPR01;Permission updated!;Permiso actualizado!
265;plugin_base_error_bodies_ARRAY_PPR01;Permission changes have been saved successfully.;Los cambios de permisos se han guardado correctamente.
266;plugin_base_infobox_permissions_title;Permissions;Permisos
267;plugin_base_infobox_permissions_desc;You can see below the list of permissions.;Puede ver a continuación la lista de permisos.
268;plugin_base_permission_title;Title;Título
269;plugin_base_permission_key;Key;Llave
270;plugin_base_btn_set_role_permission;Set permissions for role;Establecer permisos para el rol
271;plugin_base_infobox_role_permissions_title;Set permissions for role;Establecer permisos para el rol
272;plugin_base_infobox_role_permissions_desc;You can set the permission for the selected role by using the form below.;Puede establecer el permiso para el rol seleccionado mediante el siguiente formulario.
273;plugin_base_set_permissions;Set permissions;Establecer permisos
274;plugin_base_reset_permissions;Reset permissions;Restablecer permisos
275;plugin_base_reset_user_permissions_title;Reset user permissions;Restablecer permisos de usuario
276;plugin_base_reset_user_permissions_text;Are you sure you want to reset the permissions of this user? If yes, the current permissions will be replaced with the default role permissions based on user's role.;¿Está seguro de que desea restablecer los permisos de este usuario? En caso afirmativo, los permisos actuales se reemplazarán con los permisos de rol predeterminados según el rol del usuario.
277;plugin_base_infobox_user_permissions_title;Set permissions for user;Establecer permisos para el usuario
278;plugin_base_infobox_user_permissions_desc;You can set the permission for the selected user by using the form below.;Puede establecer el permiso para el usuario seleccionado mediante el siguiente formulario.
279;plugin_base_access_denied_title;Access denied;Acceso denegado
280;plugin_base_access_denied_desc;You don't have requisite rights to access this page.;No tiene los derechos necesarios para acceder a esta página.
281;plugin_base_opt_o_captcha_type_front;Type;Tipo
282;plugin_base_opt_o_captcha_background_front;Background;Fondo
283;plugin_base_opt_o_captcha_mode_front;Mode;Modo
284;plugin_base_opt_o_captcha_length_front;Length;Longitud
285;plugin_base_opt_o_captcha_site_key_front;Google reCaptcha site key;Clave del sitio de Google reCaptcha
286;plugin_base_opt_o_captcha_secret_key_front;Google reCaptcha secret key;Clave secreta de Google reCaptcha
287;plugin_base_backup_enable_auto_backup;Enable auto-backup;Habilitar copia de seguridad automática
288;plugin_base_error_titles_ARRAY_PBS06;API Keys updated!;API Keys actualizadas!
289;plugin_base_error_bodies_ARRAY_PBS06;API keys have been saved successfully!;¡Las claves API se han guardado correctamente!
290;plugin_base_menu_api_keys;API Keys;Claves API
291;plugin_base_infobox_api_keys_title;API Keys;Claves API
292;plugin_base_infobox_api_keys_desc;Set API keys for third-party services used by the system.;Establecer claves API para servicios de terceros utilizados por el sistema.
293;plugin_base_no_api_keys_added;No API keys added!;¡No se añadieron claves API!
294;plugin_base_btn_verify_key;Verify Key;Clave de verificación
295;plugin_base_menu_cron_jobs;Cron jobs;Cron jobs
296;plugin_base_infobox_cron_jobs_title;Cron Jobs;Cron Jobs
297;plugin_base_infobox_cron_jobs_desc;Cron jobs are scheduled tasks that will automatically be run at specific times. In order to enable cron jobs you need to configure a cron script using your hosting account control panel. Depending on the software your server uses you will need either server path or URL to set the cron jobs. Set this cron.php script to run every 5 minutes!;"Los ""Cron Jobs"" son tareas programadas que se ejecutarán automáticamente en momentos específicos. Para habilitar los cron jobs, debe configurar un script cron utilizando el cPanel de su cuenta de hosting. Dependiendo del software que use su servidor, necesitará la ruta del servidor o la URL para configurar los cron jobs. ¡Configure este script cron.php para que se ejecute cada 5 minutos!"
298;plugin_base_cron_url;URL;URL
299;plugin_base_cron_type;Cron Type;Tipo de Cron
300;plugin_base_cron_interval;Interval;Intervalo
301;plugin_base_cron_next_run;Next run;Próxima ejecucion
302;plugin_base_cron_last_run;Last run;Última ejecucion
303;plugin_base_cron_status;Status;Estado
304;plugin_base_cron_no_cron_jobs;There are no cron jobs found.;No se encontraron cron jobs.
305;plugin_base_cron_periods_ARRAY_minute;minute(s);minuto (s)
306;plugin_base_cron_periods_ARRAY_hour;hour(s);hora (s)
307;plugin_base_cron_periods_ARRAY_day;day(s);dia (s)
308;plugin_base_cron_periods_ARRAY_week;week(s);semana (s)
309;plugin_base_cron_periods_ARRAY_month;month(s);mese (s)
310;plugin_base_cron_run_now;Run now;Ejecutar ahora
311;plugin_base_lbl_na;N/A;N/D
312;plugin_base_cront_alert_title;Run cron job?;Ejecutar cron jobs?
313;plugin_base_cront_alert_text;Are you sure that you want to run this cron job?;¿Estás seguro de que quieres ejecutar este cron job?
314;plugin_base_languages_tab_import_export;Import / Export;Importación y exportación
315;plugin_base_locale_infobox_ie_title;Import / Export;Importación y exportación
316;plugin_base_locale_infobox_ie_desc;Use form below to Import or Export CSV with all titles. Please, do not change first row and first and second column in the CSV file.;Utilice el siguiente formulario para importar o exportar CSV con todos los títulos. Por favor, no cambie la primera fila y la primera y segunda columna en el archivo CSV.
317;plugin_base_locale_lbl_import;Import;Importar
318;plugin_base_locale_delimiter;Delimiter;Delimitador
319;plugin_base_locale_separators_ARRAY_comma;Comma;Coma
320;plugin_base_locale_separators_ARRAY_semicolon;Semicolon;Punto y coma
321;plugin_base_locale_separators_ARRAY_tab;Tab;Tab
322;plugin_base_locale_browse_csv_file;Browse CSV file;Examinar archivo CSV
323;plugin_base_locale_select_file;Select File;Seleccione Archivo
324;plugin_base_locale_change_file;Change File;Cambiar archivo
325;plugin_base_btn_import;Import;Importar
326;plugin_base_locale_lbl_export;Export;Exportar
327;plugin_base_btn_export;Export;Exportar
328;plugin_base_error_titles_ARRAY_PAL01;Titles Updated;Títulos actualizados
329;plugin_base_error_bodies_ARRAY_PAL01;All the changes made to titles have been saved.;Se han guardado todos los cambios realizados en los títulos.
330;plugin_base_error_titles_ARRAY_PAL02;Import error;Error de importación
331;plugin_base_error_bodies_ARRAY_PAL02;Import failed due missing parameters.;La importación falló debido a la falta de parámetros.
